category,feature,cobra_command,short_description
Reconnaissance & Discovery,Ping Sweep,recon ping-sweep,Discover live hosts by sending ICMP echo requests
Reconnaissance & Discovery,Port Scan,recon port-scan,Scan TCP/UDP ports on a target host
Reconnaissance & Discovery,OS Fingerprinting,recon os-finger,Identify the remote host operating system
Reconnaissance & Discovery,Service Version Enumeration,recon service-enum,Detect running services and their versions
Reconnaissance & Discovery,DNS Lookup,recon dns,Perform forward and reverse DNS resolution
Reconnaissance & Discovery,WHOIS Lookup,recon whois,Query WHOIS data for a domain or IP address
Reconnaissance & Discovery,Subdomain Enumeration,recon subdomain,Enumerate subdomains via DNS brute-force
Network Diagnostics,Traceroute,diag traceroute,Trace the path packets take to a destination
Network Diagnostics,Bandwidth Test,diag bandwidth,Measure available network bandwidth to a host
Network Diagnostics,Latency Monitor,diag latency,Monitor round-trip latency over time
Network Diagnostics,Packet Loss Check,diag packet-loss,Measure packet loss percentage to a remote host
Network Diagnostics,MTU Discovery,diag mtu,Discover the maximum transmission unit on a path
Network Diagnostics,ARP Scan,diag arp-scan,Discover hosts on the local network via ARP
Security & Penetration Testing,Packet Sniffer,sec sniff,Capture and inspect packets on a network interface
Security & Penetration Testing,Packet Forger,sec forge,Craft and inject custom network packets
Security & Penetration Testing,ARP Spoofer,sec arp-spoof,Poison ARP caches to perform MITM interception
Security & Penetration Testing,Vulnerability Scanner,sec vuln-scan,Scan for common vulnerabilities on a target
Security & Penetration Testing,Brute Force,sec brute,Attempt credential brute-force against a service
Security & Penetration Testing,SSL/TLS Audit,sec tls-audit,Audit SSL/TLS configuration on a remote host
Payload Delivery,Reverse Shell Helper,payload rev-shell,Generate reverse shell payload templates
Payload Delivery,File Transfer,payload file-xfer,Transfer files over raw TCP or HTTP channels
Payload Delivery,Bind Shell,payload bind-shell,Set up a bind shell listener on a port
Payload Delivery,Encoded Payload,payload encode,Encode a payload to evade simple pattern filters
